"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Food residues & wastes; animal fodder",423,"Bran",42302,"Foodstuffs",4,85604236,1995
"Food residues & wastes; animal fodder",423,"Starch Residue",42303,"Foodstuffs",4,1193943471,1995
"Food residues & wastes; animal fodder",423,"Soybean Meal",42304,"Foodstuffs",4,993012894,1995
"Food residues & wastes; animal fodder",423,"Ground Nut Meal",42305,"Foodstuffs",4,4210831,1995
"Food residues & wastes; animal fodder",423,"Other Vegetable Residues",42306,"Foodstuffs",4,85369033,1995
"Food residues & wastes; animal fodder",423,"Wine Lees",42307,"Foodstuffs",4,2118045,1995
"Food residues & wastes; animal fodder",423,"Other Vegetable Residues and Waste",42308,"Foodstuffs",4,246328912,1995
"Food residues & wastes; animal fodder",423,"Animal Food",42309,"Foodstuffs",4,1085747886,1995
"Tobacco & substitutes",424,"Raw Tobacco",42401,"Foodstuffs",4,1476498810,1995
"Tobacco & substitutes",424,"Rolled Tobacco",42402,"Foodstuffs",4,4490642391,1995
"Tobacco & substitutes",424,"Processed Tobacco",42403,"Foodstuffs",4,439802765,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Salt",52501,"Mineral Products",5,34700397.00000001,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Iron Pyrites",52502,"Mineral Products",5,410661,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Sulphur",52503,"Mineral Products",5,64361166,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Graphite",52504,"Mineral Products",5,18520250,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Sand",52505,"Mineral Products",5,106459943,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Quartz",52506,"Mineral Products",5,14884978,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Kaolin",52507,"Mineral Products",5,585697938,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Clays",52508,"Mineral Products",5,223805901,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Chalk",52509,"Mineral Products",5,2846375,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Calcium Phosphates",52510,"Mineral Products",5,146096526,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Barium Sulphate",52511,"Mineral Products",5,4038152,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Siliceous Fossil Meals",52512,"Mineral Products",5,43107063,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Pumice",52513,"Mineral Products",5,16657152,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Slate",52514,"Mineral Products",5,570747,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Marble, Travertine and Alabaster",52515,"Mineral Products",5,4632003,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Granite",52516,"Mineral Products",5,44094229,1995
